command,intent
move forward,motion_forward
go straight,motion_forward
advance,motion_forward
come forward,motion_forward
front,motion_forward
move back,motion_backward
go backward,motion_backward
reverse,motion_backward
back up,motion_backward
turn left,motion_left
go left,motion_left
rotate left,motion_left
left side,motion_left
turn right,motion_right
go right,motion_right
rotate right,motion_right
right side,motion_right
stop,motion_stop
halt,motion_stop
stop moving,motion_stop
brake,motion_stop
wait,motion_stop
who are you,chat
tell me a joke,chat
what is your name,chat
how is the weather,chat
who built you,chat
what can you do,chat
hello,chat
good morning,chat
explain quantum physics,chat
sing a song,chat
what is the capital of india,chat
are you a robot,chat